State,Year,MedianPrice
MS,2003,76530.9259259259
MS,2004,79279.0138888889
MS,2005,88782.5595238095
MS,2006,93894.4285714286
MS,2007,95734.7857142857
MS,2008,96573.8636363636
MS,2009,112753.649694501
MS,2010,114998.717774763
MS,2011,113771.602247191
MS,2012,98220.2991788647
MS,2013,96829.4301925722
MS,2014,97350.2831264676
MS,2015,100202.227738629
MS,2016,101832.340720222
MS,2017,103653.344736842
MS,2018,105761.009021323
MS,2019,108612.936429104
MS,2020,111458.285400926
MS,2021,116306.036849711
MT,2000,
MT,2001,
MT,2002,
MT,2003,
MT,2004,
MT,2005,245561.159090909
MT,2006,258061.645833333
MT,2007,254332.309160305
MT,2008,247418.391025641
MT,2009,250874.687179487
MT,2010,234626.438633194
MT,2011,226024.35974026
MT,2012,217901.936756757
MT,2013,217204.596870686
MT,2014,225994.07239819
MT,2015,230867.582827407
MT,2016,238857.452991453
MT,2017,249158.591146881
MT,2018,264631.095183044
MT,2019,279311.745383523
MT,2020,289520.047151277
MT,2021,319766.262650602
NC,2000,122670.083285024
NC,2001,129435.804956897
NC,2002,133649.328536783
NC,2003,137306.355565777
NC,2004,142066.74824356
NC,2005,150728.292020129
NC,2006,163442.881107955
NC,2007,173953.168007769
NC,2008,174974.760068892
NC,2009,165443.244533271
NC,2010,157228.692723924
NC,2011,149859.219008264
NC,2012,143852.918439716
NC,2013,144410.584412733
NC,2014,147891.976190476
NC,2015,151338.19512457
NC,2016,156614.226863753
NC,2017,163960.123341891
NC,2018,173010.808587909
NC,2019,180767.797529313
NC,2020,189453.816582915
NC,2021,209336.60618913
ND,2000,
ND,2001,
ND,2002,
ND,2003,
ND,2004,
ND,2005,
ND,2006,
ND,2007,
ND,2008,
ND,2009,147646.36984127
ND,2010,132024.384449244
ND,2011,133804.059006211
ND,2012,136355.219017927
ND,2013,152693.194382853
ND,2014,162699.571325648
ND,2015,171085.281227695
ND,2016,171199.686956522
ND,2017,171580.898652983
ND,2018,163789.032311978
ND,2019,160231.981874676
ND,2020,159003.686323092
ND,2021,163888.056509299
NE,2000,132309.676470588
NE,2001,133859.642276423
NE,2002,129914.53164557
NE,2003,126137.463213655
NE,2004,128786.212787724
NE,2005,132517.084827921
NE,2006,132838.922583405
NE,2007,129333.040059347
NE,2008,125530.340253343
NE,2009,119031.057255377
NE,2010,118209.673504274
NE,2011,115491.630794702
NE,2012,115114.731320368
NE,2013,119457.13757284
NE,2014,122726.056179775
NE,2015,127402.231016288
NE,2016,133249.982712169
NE,2017,141416.790276869
NE,2018,149364.239965841
NE,2019,156655.21468344
NE,2020,159028.545332309
NE,2021,168155.455861877
NH,2000,153868.542332268
NH,2001,173468.95952381
NH,2002,194689.834916865
NH,2003,216946.537949922
NH,2004,241672.418613707
NH,2005,267803.984034268
NH,2006,279169.478971963
NH,2007,273717.789330218
NH,2008,261527.072040498
NH,2009,244661.990654206
NH,2010,237028.084501558
NH,2011,230618.889018692
NH,2012,222894.210626911
NH,2013,226763.34147272
NH,2014,234076.221084566
NH,2015,240558.864030132
NH,2016,246326.606115108
NH,2017,259033.624515675
NH,2018,275073.236236934
NH,2019,287715.786111111
NH,2020,304087.082291667
NH,2021,348598.465517241
NJ,2000,225334.980085558
NJ,2001,250448.656637168
NJ,2002,280336.310029499
NJ,2003,320826.365634218
NJ,2004,363782.974188791
NJ,2005,417618.208554572
NJ,2006,457706.330825959
NJ,2007,451418.544932233
NJ,2008,423241.153450051
NJ,2009,390702.224471831
NJ,2010,377141.441314554
NJ,2011,355284.739583333
NJ,2012,339096.246378932
NJ,2013,342094.65967366
NJ,2014,355448.1002331
NJ,2015,358546.707609954
NJ,2016,361352.774450231
NJ,2017,370496.795185933
NJ,2018,384439.378696526
NJ,2019,388648.89040318
NJ,2020,401628.161207997
NJ,2021,448162.309488431
NM,2000,
NM,2001,
NM,2002,174972.165116279
NM,2003,182980.964506173
NM,2004,192254.75154321
NM,2005,206394.97412481
NM,2006,229687.716666667
NM,2007,247218.107575758
NM,2008,246767.96969697
NM,2009,208955.3046875
NM,2010,185269.381750466
NM,2011,172244.561887801
NM,2012,162889.07965616
NM,2013,163150.417528579
NM,2014,165895.985586481
NM,2015,165487.030234657
NM,2016,168220.04247941
NM,2017,173131.002092926
NM,2018,176899.051251956
NM,2019,179461.704489219
NM,2020,186727.566504178
NM,2021,204898.199172271
NV,2000,198627.381172839
NV,2001,212255.357253086
NV,2002,227959.320216049
NV,2003,250704.166666667
NV,2004,313641.075617284
NV,2005,395908.758487654
NV,2006,425119.738425926
NV,2007,398123.55
NV,2008,319321.907759883
NV,2009,219103.294227188
NV,2010,186479.686192469
NV,2011,165597.799054374
NV,2012,159509.905251142
NV,2013,185359.033351264
NV,2014,212376.182258065
NV,2015,229123.117553191
NV,2016,245534.230360934
NV,2017,263861.094030639
NV,2018,296024.770362585
NV,2019,309184.95473251
NV,2020,320920.62654321
NV,2021,364407.060185185
NY,2000,151341.526532843
NY,2001,168435.951415001
NY,2002,187246.24093124
NY,2003,209227.609942639
NY,2004,231449.362416435
NY,2005,261263.615039938
NY,2006,286917.634555534
NY,2007,289015.157006354
NY,2008,284168.413791432
NY,2009,265887.405044941
NY,2010,258850.280628019
NY,2011,255376.979685389
NY,2012,251755.414125432
NY,2013,257881.639385822
NY,2014,271389.561675273
NY,2015,281942.736190749
NY,2016,289027.810729614
NY,2017,299214.705781503
NY,2018,312401.674904762
NY,2019,320553.503
NY,2020,326581.328716924
NY,2021,353670.662947865
OH,2000,107815.724137931
OH,2001,112471.439138577
OH,2002,115967.88829026
OH,2003,119331.829568106
OH,2004,123315.183202317
OH,2005,126813.359355638
OH,2006,128770.168648827
OH,2007,127924.338011889
OH,2008,124558.161386139
OH,2009,116205.179645812
OH,2010,112120.110928144
OH,2011,107259.58910598
OH,2012,104886.642800087
OH,2013,105940.385297297
OH,2014,108775.574261694
OH,2015,112841.364014337
OH,2016,117080.180296339
OH,2017,123353.105610327
OH,2018,130294.429878475
OH,2019,137180.391012325
OH,2020,143925.873098202
OH,2021,158213.489123679
OK,2000,64276.9958145525
OK,2001,67581.0168918919
OK,2002,70094.4647190294
OK,2003,72116.816403193
OK,2004,74547.1845024215
OK,2005,77760.2771535581
OK,2006,81108.5980682349
OK,2007,84083.9781999377
OK,2008,85241.8930348259
OK,2009,83314.2575022734
OK,2010,82440.9452423698
OK,2011,80664.8020771513
OK,2012,80640.1630813954
OK,2013,82356.6843627947
OK,2014,84650.5457023963
OK,2015,88029.3934262948
OK,2016,90658.9820087831
OK,2017,93403.8760016871
OK,2018,97034.9684797768
OK,2019,100856.463318361
OK,2020,106171.581119353
OK,2021,112492.121102394
OR,2000,162273.826715913
OR,2001,168378.778290283
OR,2002,174831.324108241
OR,2003,181275.472598704
OR,2004,197783.332183908
OR,2005,227445.634328358
OR,2006,266665.395381984
OR,2007,284239.824829932
OR,2008,270398.431660438
OR,2009,238399.841879323
OR,2010,220145.445927289
OR,2011,202233.719736543
OR,2012,196464.756929169
OR,2013,210131.464785652
OR,2014,226083.101827676
OR,2015,242373.874458874
OR,2016,263366.319121447
OR,2017,284792.630570506
OR,2018,301246.203739112
OR,2019,313152.906691999
OR,2020,326523.492792981
OR,2021,367042.036448598
PA,2000,115133.943194292
PA,2001,122798.905442054
PA,2002,131984.837766888
PA,2003,143527.066076012
PA,2004,156976.719259622
PA,2005,169487.159313
