zpid,streetAddress,zipcode,city,state,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType,daysOnZillow,zestimate,rentZestimate,timeOnZillow,taxAssessedValue,lotAreaValue,dateSold,CalendarYear built,Price Square FeetPrice/sqft,HasFlooring,HasHeating,HasCooling,GarageSpaces,HasLaundary,FirePlaces,HasPool,HasSecurity,Stories,Livability,Crime,Employment,Housing,Schools
24866636,3437 Oleander Ave,94502,Alameda,CA,37.731428,-122.23761100000002,995000.0,3,3,1760.0,TOWNHOUSE,42,1124200.0,3785.0,2021-08-14 01:24:00.000000,411761.0,1738.0,2007-06-06 07:00:00.000000,1974,565.0,Yes,Yes,No,0,Yes,0,No,No,0,76,C,B,B-,B+
24862327,1547 Sherman St,94501,Alameda,CA,37.774331,-122.26366999999999,1899000.0,4,8,3012.0,MULTI_FAMILY,42,1961900.0,5245.0,2021-08-13 06:38:31.000000,546916.0,5540.0,2012-09-25 07:00:00.000000,1895,630.0,Yes,Yes,Yes,4,Yes,0,No,Yes,0,76,C,B,B-,B+
24862328,1543 Sherman St,94501,Alameda,CA,37.774229,-122.263687,1399000.0,2,6,2542.0,MULTI_FAMILY,42,1509100.0,3816.0,2021-08-13 03:58:13.000000,319098.0,6142.0,2011-09-20 07:00:00.000000,1895,550.0,Yes,Yes,No,4,No,0,No,No,0,76,C,B,B-,B+
24869374,955 Shorepoint Ct APT 216,94501,Alameda,CA,37.762806,-122.26897,475000.0,1,1,773.0,CONDO,49,517400.0,2163.0,2021-08-06 03:38:13.000000,425723.0,101259.99999999999,2018-05-25 07:00:00.000000,1971,614.0,Yes,Yes,No,1,Yes,0,Yes,No,1,76,C,B,B-,B+
24859060,1523 Broadway,94501,Alameda,CA,37.764404,-122.238009,1800000.0,4,7,3755.0,MULTI_FAMILY,57,1844100.0,4977.0,2021-07-29 14:38:16.000000,582470.0,5662.0,1988-04-29 07:00:00.000000,1917,479.0,Yes,Yes,Yes,4,No,0,No,No,0,76,C,B,B-,B+
18421836,2081 Danville Blvd,94507,Alamo,CA,37.877895,-122.050657,2600000.0,5,6,4001.0,SINGLE_FAMILY,0,2600000.0,4500.0,2021-09-25 00:53:14.000000,1433885.0,28215.0,2015-05-15 07:00:00.000000,1977,650.0,Yes,Yes,Yes,2,Yes,2,No,Yes,2,82,A,A+,D,A+
68032577,314 Las Quebradas,94507,Alamo,CA,37.865739000000005,-122.010016,4249000.0,8,5,6355.0,SINGLE_FAMILY,0,4298700.0,12500.0,2021-09-24 03:43:09.000000,3548163.0,20520.0,2016-01-21 08:00:00.000000,2005,669.0,Yes,Yes,Yes,6,Yes,5,Yes,Yes,2,82,A,A+,D,A+
18426503,2716 Miranda Ave,94507,Alamo,CA,37.865517,-122.016709,1699000.0,3,4,2441.0,SINGLE_FAMILY,1,1784600.0,5499.0,2021-09-23 03:28:10.000000,1230036.0,27312.000000000004,2004-11-02 08:00:00.000000,1982,696.0,Yes,Yes,Yes,1,Yes,0,No,No,2,82,A,A+,D,A+
111414004,168 La Sonoma Way,94507,Alamo,CA,37.839037,-122.031043,2100000.0,3,5,2497.0,SINGLE_FAMILY,4,2211000.0,5947.0,2021-09-21 01:28:12.000000,123056.0,28600.0,,1930,841.0,Yes,Yes,No,2,Yes,1,No,No,2,82,A,A+,D,A+
18421229,3079 Stonegate Dr,94507,Alamo,CA,37.875979,-122.00191799999999,3650000.0,5,4,4683.0,SINGLE_FAMILY,6,3650300.0,7724.0,2021-09-18 07:18:12.000000,1589482.0,15600.0,2008-11-25 08:00:00.000000,1990,779.0,Yes,Yes,Yes,3,Yes,1,No,No,2,82,A,A+,D,A+
