Zpid,event,time,date,price,pricePerSquareFoot,priceChangeRate,source,buyerAgent,sellerAgent,showCountyLink,postingIsRental,attributeSource
18449274,Listed for sale,1616630400000,2021-03-25,1549900,488,0.13545787545787547,bridgeMLS/CCAR/Bay East AOR,,,False,False,"{'infoString1': '40940663', 'infoString2': 'bridgeMLS/CCAR/Bay East AOR', 'infoString3': 'https://photos.zillowstatic.com/fp/542acdc3b2ca053db8ac9dea64ca1739-p_d.jpg'}"
18449274,Listing removed,1535155200000,2018-08-25,1365000,430,0.0,Intero Real Estate,,,False,False,"{'infoString1': None, 'infoString2': 'Intero Real Estate', 'infoString3': None}"
18449274,Price change,1530748800000,2018-07-05,1365000,430,0.05896043444530644,Intero Real Estate,,,False,False,"{'infoString1': None, 'infoString2': 'Intero Real Estate', 'infoString3': None}"
18449274,Price change,1527724800000,2018-05-31,1289000,406,-0.022744503411675512,Intero Real Estate,,,False,False,"{'infoString1': None, 'infoString2': 'Intero Real Estate', 'infoString3': None}"
18449274,Listed for sale,1523923200000,2018-04-17,1319000,415,0.02406832298136646,Intero Real Estate,,,False,False,"{'infoString1': None, 'infoString2': 'Intero Real Estate', 'infoString3': None}"
18449274,Listing removed,1505088000000,2017-09-11,1288000,406,0.0,NextHome Premier Realty Group,,,False,False,"{'infoString1': None, 'infoString2': 'NextHome Premier Realty Group', 'infoString3': None}"
18449274,Price change,1502755200000,2017-08-15,1288000,406,0.055824247889171244,NextHome Premier Realty Group,,,False,False,"{'infoString1': None, 'infoString2': 'NextHome Premier Realty Group', 'infoString3': None}"
18449274,Price change,1501200000000,2017-07-28,1219900,384,-0.008130742336775347,NextHome Premier Realty Group,,,False,False,"{'infoString1': None, 'infoString2': 'NextHome Premier Realty Group', 'infoString3': None}"
18449274,Price change,1499904000000,2017-07-13,1229900,387,-0.007985158896596225,NextHome Premier Realty Group,,,False,False,"{'infoString1': None, 'infoString2': 'NextHome Premier Realty Group', 'infoString3': None}"
18449274,Price change,1494806400000,2017-05-15,1239800,390,-0.00016129032258064516,"Faira.com, LLC",,,False,False,"{'infoString1': None, 'infoString2': 'Faira.com, LLC', 'infoString3': None}"
18449274,Price change,1492992000000,2017-04-24,1240000,390,0.0008071025020177562,"Faira.com, LLC",,,False,False,"{'infoString1': None, 'infoString2': 'Faira.com, LLC', 'infoString3': None}"
18449274,Listed for sale,1492041600000,2017-04-13,1239000,390,0.239,"Faira.com, LLC",,,False,False,"{'infoString1': None, 'infoString2': 'Faira.com, LLC', 'infoString3': None}"
18449274,Sold,1416960000000,2014-11-26,1000000,315,5.000250012500625e-05,Public Record,"{'photo': {'url': 'https://photos.zillowstatic.com/h_e/ISzjd3e63dwuid1000000000.jpg'}, 'profileUrl': '/profile/YasumiSellsHomes/', 'name': 'Yasumi Davis'}",,False,False,"{'infoString1': None, 'infoString2': 'Public Record', 'infoString3': None}"
18449274,Listing removed,1413936000000,2014-10-22,999950,315,0.0,J. Rockcliff Realtors,,,False,False,"{'infoString1': None, 'infoString2': 'J. Rockcliff Realtors', 'infoString3': None}"
18449274,Listed for sale,1413763200000,2014-10-20,999950,315,1.1185381355932202,J. Rockcliff Realtors,,,False,False,"{'infoString1': None, 'infoString2': 'J. Rockcliff Realtors', 'infoString3': None}"
18449274,Sold,924739200000,1999-04-22,472000,149,0.0,Public Record,,,False,False,"{'infoString1': None, 'infoString2': 'Public Record', 'infoString3': None}"
18445839,Listed for sale,1631145600000,2021-09-09,460000,502,0.027932960893854747,bridgeMLS/CCAR/Bay East AOR,,,False,False,"{'infoString1': '40966245', 'infoString2': 'bridgeMLS/CCAR/Bay East AOR', 'infoString3': 'https://photos.zillowstatic.com/fp/542acdc3b2ca053db8ac9dea64ca1739-p_d.jpg'}"
18445839,Sold,1527724800000,2018-05-31,447500,489,0.15038560411311053,MAXMLS,,"{'photo': {'url': 'https://photos.zillowstatic.com/h_e/ISaxbsehqc9nnf1000000000.jpg'}, 'profileUrl': '/profile/martincai/', 'name': 'Martin Cai'}",False,False,"{'infoString1': '40818888', 'infoString2': 'MAXMLS', 'infoString3': None}"
18445839,Pending sale,1525478400000,2018-05-05,389000,425,0.0,"Centermac Realty, Inc.",,,False,False,"{'infoString1': None, 'infoString2': 'Centermac Realty, Inc.', 'infoString3': None}"
